Index,Country,Accounts,Global Share,Accounts per 100 Capita,Android,iOS,Picture,Status,Business,Companions
1,India,"749,075,246",21.67,52.32,94.95,5.05,62.22,29.55,9.77,6.2
2,Indonesia,"235,245,077",6.81,84.01,92.35,7.65,49.14,27.49,10.66,9.3
3,Brazil,"206,949,224",5.99,98.22,81.42,18.58,61.08,41.46,10.32,15.55
4,United States,"137,859,284",3.99,40.25,32.62,67.38,44.03,32.77,2.39,6.12
5,Russian Federation,"132,855,022",3.84,91.2,75.6,24.4,61.74,33.47,3.62,9.4
6,Mexico,"128,324,166",3.71,99.34,81.73,18.27,46.06,23.26,4.07,11.74
7,Pakistan,"98,277,665",2.84,40,94.65,5.35,58.51,20,21.71,5.36
8,Germany,"74,565,425",2.16,88.35,58.13,41.87,51.02,35.41,2.17,13.41
9,Turkiye,"72,131,903",2.09,82.75,72.72,27.28,47.95,33.4,2.95,12.02
10,Egypt,"69,317,806",2.01,61.08,90.07,9.93,53.16,25.08,11.28,6.12
11,United Kingdom,"66,835,822",1.93,97.65,42.72,57.28,57.2,45.33,3.39,10.21
12,Iran,"64,945,192",1.88,72.08,76.24,23.76,53.58,23.1,9.05,1.55
13,Nigeria,"60,325,977",1.75,26.75,85.59,14.41,60.98,23.72,23.22,5.55
14,Bangladesh,"60,127,633",1.74,35.28,96.45,3.55,60.22,9.73,4.89,5.95
15,Italy,"55,606,677",1.61,93.36,69.53,30.47,68.46,46.94,3.1,16.48
16,France,"53,967,206",1.56,81.3,57.93,42.07,50.6,36.74,1.6,10.19
17,Colombia,"51,030,811",1.48,98.07,86.73,13.27,48.43,24.27,8.61,14.32
18,Spain,"46,495,245",1.35,97.05,71.87,28.13,58.15,42.23,3.8,18.57
19,Argentina,"43,854,434",1.27,96.47,88.4,11.6,54.76,32.77,5.41,16.19
20,South Africa,"43,171,922",1.25,68.75,89.81,10.19,58.99,25.58,10.33,5.15
21,Saudi Arabia,"38,910,335",1.13,118.39,57.45,42.55,61.27,38.93,15.99,8.4
22,Malaysia,"37,353,780",1.08,107.01,77,23,50.76,29.58,7.88,15.43
23,Morocco,"32,954,817",0.95,87.82,89.01,10.99,54.43,17.55,15.57,5.61
24,Peru,"31,567,678",0.91,93.8,92.53,7.47,48.99,25.05,7.24,19.75
25,Iraq,"29,676,773",0.86,66.55,78.69,21.31,67.57,29.88,7.86,2.53
26,Poland,"23,838,052",0.69,61.42,75.2,24.8,43.55,25.49,0.81,7.7
27,Canada,"21,978,575",0.64,56.27,36.94,63.06,44.15,40.38,4.48,11.1
28,Philippines,"21,393,429",0.62,18.7,81.96,18.04,36.23,6.43,1.95,3.31
29,Kenya,"21,094,162",0.61,38.5,96.58,3.42,60.65,23.37,15.42,4.56
30,Chile,"21,020,792",0.61,107.23,79.84,20.16,52.83,30.82,5.1,18.51
31,Kazakhstan,"19,702,340",0.57,97.56,71.44,28.56,59.03,37.19,9.96,10.69
32,Netherlands,"18,668,743",0.54,103.61,51.41,48.59,59.32,45.76,4.46,22.39
33,Venezuela,"18,645,768",0.54,66,93.56,6.44,51.99,23.98,9.28,5.74
34,United Arab Emirates,"18,348,803",0.53,175.67,69.13,30.87,61.86,31.11,26.31,12.18
35,Algeria,"18,316,732",0.53,39.97,92.25,7.75,42.72,6.12,2.34,1.85
36,Ghana,"16,671,248",0.48,49.81,77.61,22.39,69.81,28.34,23.66,4.03
37,Australia,"16,349,836",0.47,62.12,33.03,66.97,44.53,42.32,1.81,9.34
38,Ecuador,"16,024,559",0.46,89.51,88.45,11.55,48.19,25,9.53,18.1
39,Romania,"15,081,156",0.44,78.67,77.81,22.19,62.01,29.36,2.08,14.24
40,Sri Lanka,"14,899,815",0.43,65.05,87.68,12.32,52.31,23.52,13.9,8.95
41,Ukraine,"14,261,123",0.41,37.51,71.01,28.99,42.28,19.92,0.97,6.39
42,Guatemala,"13,402,143",0.39,74.52,90.97,9.03,47.59,20.07,6.05,8.23
43,Nepal,"13,110,193",0.38,44.12,89.74,10.26,54.3,10.64,3.9,4.72
44,Syria,"12,515,809",0.36,54.38,95.54,4.46,58.14,23.92,14.23,2.01
45,Yemen,"12,444,545",0.36,32.08,96.94,3.06,63.5,24.4,18.45,1.44
46,Tanzania,"12,337,074",0.36,18.79,93.16,6.84,70.82,20.62,17.13,2.29
47,"Congo, The Democratic Republic of the","11,846,557",0.34,11.38,91.43,8.57,77.55,16.89,29.45,1.6
48,Israel,"11,273,740",0.33,122.66,64.19,35.81,63.85,45.09,6.35,22.35
